ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/hkrul_nor_surp	
hkrul_olg_helm	wh3_dlc20_ability_intensity_nearby_deaths
hkrul_haftagg_shield	wh3_dlc20_ability_intensity_nearby_deaths
hkrul_olaf_helm	wh3_dlc23_ability_intensity_damage_taken
hkrul_khorne_bomb	wh2_main_all_good_against_armour
hkrul_khorne_bomb	wh_main_all_direct_damage_high
hkrul_khorne_bomb	wh2_main_bombardment_medium_strike_aoe
hkrul_khorne_bomb	wh_main_all_strong_against_single
hkrul_khorne_bomb	wh_main_all_strong_against_unit
hkrul_olg_spit	wh2_main_all_good_against_armour
hkrul_olg_spit	wh_main_all_strong_against_unit
hkrul_olg_spit	wh_main_projectile_powerful_explosion
hkrul_tuula_axe	wh3_main_ability_intensity_kills
hkrul_olaf_axe	wh_main_all_direct_damage_high
hkrul_olaf_axe	wh_main_all_strong_against_units
hkrul_olaf_axe	wh_main_all_weak_against_single
hkrul_boartusk_shatter	wh_main_all_direct_damage_high
hkrul_boartusk_shatter	wh_main_all_strong_against_units
hkrul_boartusk_shatter	wh_main_all_weak_against_single
hkrul_boartusk_helm	wh_main_all_replenish_burst
hkrul_boartusk_helm_weak	wh_main_all_replenish_burst
