set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/ab_wolftribe		
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_01	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_03	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_04	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_05	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_06	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_07	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_08	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_09	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_10	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_13	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_14	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_15	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_16	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_17	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_18	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_19	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_20	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_21	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_22	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_innate_23	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_unique_01	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_unique_02	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_unique_03	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_unique_04	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_unique_05	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_mentor	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_01	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_02	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_03	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_04	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_05	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_06	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_07	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_08	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_09	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_10	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_self_c_11	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_battle_a_01	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_battle_a_02	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_battle_a_03	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_battle_a_04	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_battle_b_01	false
nor_skin_wolf_lord_nodeset	nor_skin_wolf_lord_battle_b_02	false
