id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
#campaign_character_arts_tables;0;db/campaign_character_arts_tables/scm_norsca																
203871720	hkrul_adella	0	0		none	hkrul_adella			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu1b_elf_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05	0	0	0
203871721	hkrul_soren	0	0		none	hkrul_soren			wh_dlc08_campaign_nor_ship_agent	wh_dlc08_campaign_nor_ship_agent	cam_hu1c_soren	cam_agent_ship_03	cam_agent_ship_03	0	0	0
203871722	hkrul_akkorak	0	0		none	hkrul_akkorak			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1c_chaos_sword_and_shield	cam_transport_ship_05	cam_transport_ship_05	0	0	0
203871723	hkrul_birna	0	0		none	hkrul_birna			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hero_hu1_dlc23_ulrika_dual_swords_bow	cam_transport_ship_05	cam_transport_ship_05	0	0	0
203871724	hkrul_drenok	0	0		none	hkrul_drenok			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu1c_wh3_boris_glaive	cam_transport_ship_05	cam_transport_ship_05	0	0	0
203871725	hkrul_einar	0	0		none	hkrul_einar			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hero_hu1c_dlc24_helbrass_2handed_sword	cam_transport_ship_05	cam_transport_ship_05	0	0	0
203871726	hkrul_harald	0	0		none	hkrul_harald			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu13_rhox_irongut	cam_transport_ship_05	cam_transport_ship_05	0	0	0
203871727	hkrul_sayl	0	0		none	hkrul_sayl			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu1_sayl_staff_and_magic	cam_transport_ship_05	cam_transport_ship_05	0	0	0
203871728	hkrul_ulfric	0	0		none	hkrul_ulfric			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu1c_wh3_boris_glaive	cam_transport_ship_05	cam_transport_ship_05	0	0	0
203871729	hkrul_verdandi	0	0		none	hkrul_verdandi			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hero_hu1_dlc23_ulrika_dual_swords_bow	cam_transport_ship_05	cam_transport_ship_05	0	0	0
203871730	hkrul_kolsveinn	0	0		none	hkrul_kolsveinn			wh3_uniform_kho_ship_agent	wh3_uniform_kho_ship_agent	cam_hu6_gor_axe	cam_khorne_ship_01	cam_khorne_ship_01	0	0	0
203871731	hkrul_swyrd	0	0		none	hkrul_swyrd			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu1c_wh3_boris_glaive	cam_transport_ship_05	cam_transport_ship_05	0	0	0
201735971	hkrul_lokjar	0	0		none	hkrul_lokjar			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1c_chaos_axe_and_shield	cam_agent_ship_03	cam_agent_ship_03	0	0	0
201735972	hkrul_bjornling_ogg	0	0		none	hkrul_bjornling_ogg			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu13_wh3_ogre_handblade_and_ironfist	cam_agent_ship_03	cam_agent_ship_03	0	0	0
201735973	hkrul_hakka	0	0		none	hkrul_hakka			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu1c_wh3_kislev_dual_axe	cam_transport_ship_05	cam_transport_ship_05	0	0	0
201735974	hkrul_oda	0	0		none	hkrul_oda			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hero_hu1_dlc23_ulrika_dual_swords_bow	cam_transport_ship_05	cam_transport_ship_05	0	0	0
201735975	hkrul_rafn	0	0		none	hkrul_rafn			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu13_rhox_irongut	cam_transport_ship_05	cam_transport_ship_05	0	0	0
201735976	hkrul_hrothgar	0	0		none	hkrul_hrothgar			wh3_uniform_kho_ship_agent	wh3_uniform_kho_ship_agent	cam_hu1c_chaos_sword_and_shield_cultist_of_khorne	cam_khorne_ship_01	cam_khorne_ship_01	0	0	0
201735977	rhox_baersonling_daemon_prince_tzeentch_1	0	0		none	wh3_dlc20_uniform_chs_cha_daemon_prince_mtze_1			wh3_uniform_tze_ship_lord	wh3_uniform_tze_ship_lord	cam_lord_hu10e_wh3_daemon_prince_sword	cam_tze_ship_01	cam_tze_ship_01	0	0	0
201735978	rhox_baersonling_daemon_prince_tzeentch_2	0	0		none	wh3_dlc20_uniform_chs_cha_daemon_prince_mtze_2			wh3_uniform_tze_ship_lord	wh3_uniform_tze_ship_lord	cam_lord_hu10e_wh3_daemon_prince_sword	cam_tze_ship_01	cam_tze_ship_01	0	0	0
201735979	rhox_baersonling_daemon_prince_tzeentch_3	0	0		none	wh3_dlc20_uniform_chs_cha_daemon_prince_mtze_3			wh3_uniform_tze_ship_lord	wh3_uniform_tze_ship_lord	cam_lord_hu10e_wh3_daemon_prince_sword	cam_tze_ship_01	cam_tze_ship_01	0	0	0
