invalid_target	special_ability
#special_ability_to_invalid_target_flags_tables;0;db/special_ability_to_invalid_target_flags_tables/hkrul_nor_surp	
unit_tier1_kills	hkrul_tuula_rally
unit_is_large	hkrul_olaf_rally
flying_currently	hkrul_olaf_axe
on_a_platform	hkrul_olaf_axe
flying_currently	hkrul_olg_spit
unit_is_not_commander_class	hkrul_khorne_bomb
unit_is_not_commander_class	hkrul_tuula_bound
climbing	hkrul_olaf_axe
unit_tier2_kills	hkrul_olaf_retinue
climbing	hkrul_boartusk_shatter
flying_currently	hkrul_boartusk_shatter
on_a_platform	hkrul_boartusk_shatter
health_below_50%	hkrul_haftagg_roar
flying_currently	hkrul_berus_axe
on_a_platform	hkrul_berus_axe
climbing	hkrul_berus_axe
unit_is_not_shielded	hkrul_oda_shield2
