effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/rhox_adella				
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh3_dlc20_effect_province_merc_capacity_forsaken_spawn_khorne_hidden	province_to_province_own	1.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh3_dlc20_effect_province_merc_capacity_khorne_marauders_hounds_all_hidden	province_to_province_own	3.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh3_dlc20_effect_province_merc_replenishment_forsaken_spawn_khorne_hidden	province_to_province_own	60.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh3_dlc20_effect_province_merc_replenishment_khorne_marauders_hidden	province_to_province_own	50.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh3_main_effect_corruption_khorne_high_reduction_scripted	province_to_region_own_unseen	-5.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh3_main_effect_public_order_corruption_khorne	province_to_province_own	10.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh3_main_effect_region_chance_to_spread_to_ruin_source_hidden	province_to_province_own	10.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh_main_effect_region_enable_chaos_attrition_good	province_to_region_own_unseen	1.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh_main_ie_effect_force_stat_charge_bonus_pct_khornate	province_to_force_any_provincewide	15.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh_main_ie_effect_force_stat_melee_attack_add_khornate	province_to_force_any_provincewide	6.0000	start_turn_completed
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	wh_main_ie_effect_force_stat_vigour_loss_reduction_khornate	province_to_force_any_provincewide	-20.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh2_main_effect_plague_infectivity_mod_good	province_to_region_provincewide_settlementtext	30.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh2_main_effect_plague_lifetime_good	province_to_region_provincewide_settlementtext	5.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh3_dlc20_effect_province_merc_capacity_aspiring_champions_hidden	province_to_province_own	1.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh3_dlc20_effect_province_merc_capacity_forsaken_spawn_nurgle_hidden	province_to_province_own	1.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh3_dlc20_effect_province_merc_capacity_nurgle_marauder_hidden	province_to_province_own	3.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh3_dlc20_effect_province_merc_replenishment_forsaken_spawn_nurgle_hidden	province_to_province_own	60.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh3_dlc20_effect_province_merc_replenishment_nurgle_marauders_hidden	province_to_province_own	50.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh3_main_effect_corruption_nurgle_high_reduction_scripted	province_to_region_own_unseen	-5.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh3_main_effect_province_growth_nurgle_corruption	province_to_province_own	15.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh3_main_effect_public_order_corruption_nurgle	province_to_province_own	10.0000	start_turn_completed
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	wh_main_effect_region_enable_chaos_attrition_good	province_to_region_own_unseen	1.0000	start_turn_completed
rhox_adella_corruption_slaanesh_91-100_rhox_adella_sla_slaanesh	wh3_dlc20_effect_province_merc_capacity_aspiring_champions_hidden	province_to_province_own	1.0000	start_turn_completed
rhox_adella_corruption_slaanesh_91-100_rhox_adella_sla_slaanesh	wh3_dlc20_effect_province_merc_capacity_forsaken_spawn_slaanesh_hidden	province_to_province_own	1.0000	start_turn_completed
rhox_adella_corruption_slaanesh_91-100_rhox_adella_sla_slaanesh	wh3_dlc20_effect_province_merc_capacity_slaanesh_marauder_hidden	province_to_province_own	3.0000	start_turn_completed
rhox_adella_corruption_slaanesh_91-100_rhox_adella_sla_slaanesh	wh3_dlc20_effect_province_merc_replenishment_forsaken_spawn_slaanesh_hidden	province_to_province_own	60.0000	start_turn_completed
