effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/hkrul_late_summer		
hkrul_grydal_shield	enable	hkrul_grydal_shield
hkrul_grydal_axe	enable	hkrul_grydal_axe
hkrul_goftur_rally	enable	hkrul_goftur_rally
hkrul_goftur_shield_pas	enable	hkrul_goftur_shield_pas
hkrul_goftur_helm	enable	hkrul_goftur_helm
hkrul_goftur_sword	enable	hkrul_goftur_sword
hkrul_mermedus_shield	enable	hkrul_mermedus_shield
hkrul_mermedus_axe	enable	hkrul_mermedus_axe
hkrul_urf_rally	enable	hkrul_urf_rally
hkrul_urf_shield_pas	enable	hkrul_urf_shield_pas
hkrul_urf_helm	enable	hkrul_urf_helm
hkrul_urf_sword	enable	hkrul_urf_sword
eyri_killshot	enable	eyri_killshot
hkrul_goftur_shark_summon	enable	hkrul_goftur_shark_summon
hkrul_olg_summon	enable	hkrul_olg_summon
hkrul_goftur_bite	enable	hkrul_goftur_bite
hkrul_goftur_children	enable	hkrul_goftur_children
hkrul_goftur_wave	enable	hkrul_goftur_wave
hkrul_goftur_cry	enable	hkrul_goftur_cry
hkrul_grydal_mark	enable	hkrul_grydal_mark
hkrul_grydal_hand	enable	hkrul_grydal_hand
eyri_killshot_multi	enable	eyri_killshot_multi
hkrul_oda_spear	enable	hkrul_oda_spear
hkrul_haraldur_rally	enable	hkrul_haraldur_rally
hkrul_haraldur_tankard	enable	hkrul_haraldur_tankard
hkrul_haraldur_sword	enable	hkrul_haraldur_sword
hkrul_haraldur_shield	enable	hkrul_haraldur_shield
hkrul_skald_rally	enable	hkrul_skald_rally
hkrul_festerheart	enable	hkrul_festerheart
hkrul_crimson_rain_2	enable	hkrul_crimson_rain_2
hkrul_tuula_mark	enable	hkrul_tuula_mark
hkrul_haraldur_killshot	enable	hkrul_haraldur_killshot
hkrul_eyrdal_thorn	enable	hkrul_eyrdal_thorn
