building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/scm_norsca						
rhox_fc_norsca_harald_throne	wh_main_effect_public_order_osmosis		building_to_adjacent_province	2.0000	1.0000	0.0000
rhox_fc_norsca_harald_throne	wh_main_effect_character_stat_leadership_aura_size		faction_to_character_own	10.0000	5.0000	0.0000
rhox_fc_norsca_harald_throne	wh_main_effect_economy_gdp_mod_all		province_to_region_own	20.0000	10.0000	0.0000
rhox_fc_norsca_hafskael_yard	wh_main_effect_economy_gdp_trade_sea		building_to_building_own	150.0000	75.0000	0.0000
rhox_fc_norsca_hafskael_yard	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance		building_to_force_own_factionwide	-10.0000	-5.0000	0.0000
rhox_fc_norsca_hafskael_yard	wh_main_effect_economy_trade_tariff_mod	FactionHasTrade	faction_to_faction_own_unseen	10.0000	5.0000	0.0000
rhox_fc_norsca_kai_delta_swamp	wh2_main_effect_force_enemy_campaign_movement_range		region_to_force_enemy	-30.0000	-15.0000	0.0000
rhox_fc_norsca_kai_delta_swamp	wh_main_effect_region_resource_timber_production		building_to_building_own	10.0000	5.0000	0.0000
rhox_fc_norsca_kai_delta_swamp	wh_main_faction_political_diplomacy_mod_technology_greenskins		faction_to_faction_own_unseen	10.0000	5.0000	0.0000
rhox_fc_norsca_valmir_aesling	wh3_main_faction_political_diplomacy_mod_khorne		faction_to_faction_own_unseen	10.0000	5.0000	0.0000
rhox_fc_norsca_valmir_aesling	wh_main_effect_force_stat_melee_attack		province_to_force_own_provincewide	5.0000	3.0000	0.0000
rhox_fc_norsca_valmir_aesling	rhox_fc_norsca_bloodfather_dummy	IsAesling	faction_to_faction_own_unseen	1.0000	1.0000	0.0000
rhox_fc_norsca_ruins_of_vinnskor	wh_main_effect_unit_recruitment_points		province_to_province_own	1.0000	1.0000	0.0000
rhox_fc_norsca_ruins_of_vinnskor	wh_main_effect_force_all_campaign_recruitment_cost		province_to_province_own	-15.0000	-8.0000	0.0000
rhox_fc_norsca_ruins_of_vinnskor	rhox_fc_norsca_asta_dummy	IsBaersonling	faction_to_faction_own_unseen	1.0000	1.0000	0.0000
rhox_fc_norsca_great_gathering	wh_main_effect_unit_recruitment_points		province_to_province_own	1.0000	1.0000	0.0000
rhox_fc_norsca_great_gathering	wh_main_effect_force_all_campaign_raid_income		faction_to_force_own	10.0000	5.0000	0.0000
rhox_fc_norsca_great_gathering	wh_main_effect_force_all_campaign_movement_range		faction_to_force_own	5.0000	3.0000	0.0000
rhox_fc_norsca_sargath_tent	wh3_dlc20_effect_allegiance_points_mod_slaanesh		faction_to_faction_own_unseen	25.0000	12.0000	0.0000
rhox_fc_norsca_sargath_tent	wh_main_effect_character_stat_leadership_aura_size		province_to_force_own_provincewide	15.0000	8.0000	0.0000
rhox_fc_norsca_sargath_tent	wh_dlc08_effect_force_stat_bonus_vs_large_marauder_spearmen		faction_to_force_own	4.0000	2.0000	0.0000
