building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/scm_norsca						
rhox_fc_norsca_harald_throne	wh_main_effect_public_order_osmosis		building_to_adjacent_province	2.0000	1.0000	0.0000
rhox_fc_norsca_harald_throne	wh_main_effect_character_stat_leadership_aura_size		faction_to_character_own	10.0000	5.0000	0.0000
rhox_fc_norsca_harald_throne	wh_main_effect_economy_gdp_mod_all		province_to_region_own	20.0000	10.0000	0.0000
rhox_fc_norsca_hafskael_yard	hkrul_hafskael_dummy	IsBjornling	building_to_building_own	1.0000	175.0000	0.0000
rhox_fc_norsca_hafskael_yard	wh_main_effect_economy_gdp_trade_sea		building_to_building_own	350.0000	175.0000	0.0000
rhox_fc_norsca_hafskael_yard	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance		building_to_force_own_factionwide	-10.0000	-5.0000	0.0000
rhox_fc_norsca_hafskael_yard	wh2_main_effect_economy_gdp_mod_trade_sea_global		faction_to_province_own_factionwide	15.0000	5.0000	0.0000
rhox_fc_norsca_kai_delta_swamp	wh2_main_effect_force_enemy_campaign_movement_range		region_to_force_enemy	-30.0000	-15.0000	0.0000
rhox_fc_norsca_kai_delta_swamp	wh_main_effect_region_resource_timber_production		building_to_building_own	15.0000	5.0000	0.0000
rhox_fc_norsca_kai_delta_swamp	wh_main_faction_political_diplomacy_mod_technology_greenskins		faction_to_faction_own_unseen	20.0000	5.0000	0.0000
rhox_fc_norsca_valmir_aesling	wh_main_effect_economy_gdp_mod_all		faction_to_faction_own_unseen	3.0000	1.0000	0.0000
rhox_fc_norsca_valmir_aesling	wh3_main_faction_political_diplomacy_mod_khorne		faction_to_faction_own_unseen	20.0000	5.0000	0.0000
rhox_fc_norsca_valmir_aesling	wh_main_effect_force_stat_melee_attack		province_to_force_own_provincewide	8.0000	4.0000	0.0000
rhox_fc_norsca_valmir_aesling	rhox_fc_norsca_bloodfather_dummy	IsAesling	faction_to_faction_own_unseen	1.0000	1.0000	0.0000
rhox_fc_norsca_ruins_of_vinnskor	wh_main_faction_political_diplomacy_mod_technology_norsca		faction_to_faction_own_unseen	15.0000	1.0000	0.0000
rhox_fc_norsca_ruins_of_vinnskor	wh_main_effect_unit_recruitment_points		province_to_province_own	1.0000	1.0000	0.0000
rhox_fc_norsca_ruins_of_vinnskor	wh_main_effect_force_all_campaign_recruitment_cost		province_to_province_own	-15.0000	-8.0000	0.0000
rhox_fc_norsca_ruins_of_vinnskor	rhox_fc_norsca_asta_dummy	IsBaersonling	faction_to_faction_own_unseen	1.0000	1.0000	0.0000
rhox_fc_norsca_ruins_of_vinnskor	wh3_main_effect_disable_stance_tunnelling_tze		faction_to_faction_own	-1.0000	-1.0000	0.0000
rhox_fc_norsca_great_gathering	wh_main_effect_unit_recruitment_points		province_to_province_own	3.0000	1.0000	0.0000
rhox_fc_norsca_great_gathering	wh_main_effect_force_all_campaign_raid_income		faction_to_force_own	15.0000	5.0000	0.0000
rhox_fc_norsca_great_gathering	wh_main_effect_force_all_campaign_movement_range		faction_to_force_own	10.0000	3.0000	0.0000
rhox_fc_norsca_sargath_tent	wh3_dlc20_effect_allegiance_points_mod_slaanesh		faction_to_faction_own_unseen	30.0000	12.0000	0.0000
rhox_fc_norsca_sargath_tent	wh_main_effect_character_stat_armour		province_to_force_own_provincewide	5.0000	8.0000	0.0000
rhox_fc_norsca_sargath_tent	wh_dlc08_effect_force_stat_bonus_vs_large_marauder_spearmen		faction_to_force_own	4.0000	2.0000	0.0000
wh_main_nor_settlement_major_1	wh3_main_effect_region_chance_to_spread_to_ruin_source	IsVarg	region_to_region_own	2.0000	1.0000	0.0000
wh_main_nor_settlement_major_2	wh3_main_effect_region_chance_to_spread_to_ruin_source	IsVarg	region_to_region_own	4.0000	2.0000	0.0000
wh_main_nor_settlement_major_3	wh3_main_effect_region_chance_to_spread_to_ruin_source	IsVarg	region_to_region_own	6.0000	3.0000	0.0000
wh_main_nor_settlement_major_4	wh3_main_effect_region_chance_to_spread_to_ruin_source	IsVarg	region_to_region_own	8.0000	4.0000	0.0000
wh_main_nor_settlement_major_5	wh3_main_effect_region_chance_to_spread_to_ruin_source	IsVarg	region_to_region_own	10.0000	5.0000	0.0000
wh_main_nor_settlement_minor_1	wh3_main_effect_region_chance_to_spread_to_ruin_source	IsVarg	region_to_region_own	2.0000	1.0000	0.0000
wh_main_nor_settlement_minor_2	wh3_main_effect_region_chance_to_spread_to_ruin_source	IsVarg	region_to_region_own	4.0000	2.0000	0.0000
wh_main_nor_settlement_minor_3	wh3_main_effect_region_chance_to_spread_to_ruin_source	IsVarg	region_to_region_own	6.0000	3.0000	0.0000
wh3_main_ie_NORSCA_resource_timber	wh_main_effect_force_stat_melee_attack_at_sea	IsSarl	building_to_force_own_factionwide	3.0000	1.0000	0.0000
wh3_main_ie_NORSCA_resource_timber	wh2_main_effect_character_stat_leadership_at_sea	IsSarl	building_to_force_own_factionwide	3.0000	1.0000	0.0000
rhox_fc_norsca_chaos_iceberg	rhox_drenok_ice_unit_upkeep		province_to_force_own_provincewide	-70.0000	-35.0000	0.0000
rhox_fc_norsca_chaos_iceberg	rhox_drenok_ice_unit_strength		faction_to_force_own	15.0000	3.0000	0.0000
rhox_fc_norsca_chaos_iceberg	wh_main_effect_force_all_campaign_movement_range		province_to_force_own_provincewide	25.0000	10.0000	0.0000
rhox_fc_norsca_chaos_iceberg	wh_main_effect_force_all_campaign_movement_range_bad		faction_to_force_own	5.0000	10.0000	0.0000
rhox_fc_norsca_corrupted_khemri	rhox_surtha_ek_ror_dummy	IsVarg	building_to_building_own	1.0000	1.0000	0.0000
rhox_fc_norsca_corrupted_khemri	hkrul_surtha_chariots_speed		faction_to_force_own	25.0000	12.0000	0.0000
rhox_fc_norsca_corrupted_khemri	hkrul_surtha_chariots_upkeep		faction_to_force_own	-35.0000	-17.0000	0.0000
rhox_fc_norsca_corrupted_khemri	wh3_main_effect_force_stat_unit_mass_percentage_mod		faction_to_force_own	5.0000	2.0000	0.0000
rhox_beorg_halls_of_urslo	hkrul_beorg_bear_defence		faction_to_force_own	8.0000	4.0000	0.0000
rhox_beorg_halls_of_urslo	wh_main_effect_force_all_campaign_raid_income		building_to_force_own_factionwide	15.0000	5.0000	0.0000
hkrul_norsca_duel_circle	hkrul_marauder_xp_gain		faction_to_force_own	15.0000	5.0000	0.0000
