attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_sarg	
chaos_territory	hkrul_sarg
chaos_wastes	hkrul_sarg
mountain	hkrul_sarg
non_vampire_territory	hkrul_sarg
nurgle_plague	hkrul_sarg
snow	hkrul_sarg
chaos_territory	hkrul_sarg_horse
chaos_wastes	hkrul_sarg_horse
mountain	hkrul_sarg_horse
non_vampire_territory	hkrul_sarg_horse
nurgle_plague	hkrul_sarg_horse
snow	hkrul_sarg_horse
chaos_territory	hkrul_sarg_chariot
chaos_wastes	hkrul_sarg_chariot
mountain	hkrul_sarg_chariot
non_vampire_territory	hkrul_sarg_chariot
nurgle_plague	hkrul_sarg_chariot
snow	hkrul_sarg_chariot
chaos_territory	hkrul_sarg_exalted_seeker_chariot
chaos_wastes	hkrul_sarg_exalted_seeker_chariot
mountain	hkrul_sarg_exalted_seeker_chariot
non_vampire_territory	hkrul_sarg_exalted_seeker_chariot
nurgle_plague	hkrul_sarg_exalted_seeker_chariot
snow	hkrul_sarg_exalted_seeker_chariot
