attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_drenok	
chaos_territory	hkrul_drenok
chaos_wastes	hkrul_drenok
mountain	hkrul_drenok
non_vampire_territory	hkrul_drenok
nurgle_plague	hkrul_drenok
snow	hkrul_drenok
chaos_territory	hkrul_drenok_chariot
chaos_wastes	hkrul_drenok_chariot
mountain	hkrul_drenok_chariot
non_vampire_territory	hkrul_drenok_chariot
nurgle_plague	hkrul_drenok_chariot
snow	hkrul_drenok_chariot
chaos_territory	hkrul_drenok_bear
chaos_wastes	hkrul_drenok_bear
mountain	hkrul_drenok_bear
non_vampire_territory	hkrul_drenok_bear
nurgle_plague	hkrul_drenok_bear
snow	hkrul_drenok_bear
chaos_territory	dead_drenok_ice_golem
chaos_wastes	dead_drenok_ice_golem
mountain	dead_drenok_ice_golem
non_vampire_territory	dead_drenok_ice_golem
nurgle_plague	dead_drenok_ice_golem
snow	dead_drenok_ice_golem
chaos_territory	dead_drenok_ice_bears
chaos_wastes	dead_drenok_ice_bears
mountain	dead_drenok_ice_bears
non_vampire_territory	dead_drenok_ice_bears
nurgle_plague	dead_drenok_ice_bears
snow	dead_drenok_ice_bears
chaos_territory	dead_drenok_greater_ice_golem
chaos_wastes	dead_drenok_greater_ice_golem
mountain	dead_drenok_greater_ice_golem
non_vampire_territory	dead_drenok_greater_ice_golem
nurgle_plague	dead_drenok_greater_ice_golem
snow	dead_drenok_greater_ice_golem
