key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/scm_norsca							
hkrul_verdandi	hu1_phy_verdandi_01	hkrul_verdandi	wh3_dlc23_ulrika_standard_blood		false	true	false
hkrul_ulfric_horse	hu1c_wh3_dlc20_hr1_glhh_2handed_axe	hkrul_ulfric	wh3_dlc20_chs_cha_hero_mnur_chaos_steed_rider		true	true	false
hkrul_ulfric_chariot_rider2	hu1c_chaos_wm_chariot_halberd	hkrul_ulfric	wh_main_infantry_rider_character_blood		true	true	false
hkrul_ulfric_mammoth_rider	hu1c_wulfrik_hq3_wb_sword_and_shield	hkrul_ulfric	wh_main_infantry_rider		true	true	false
hkrul_lokjar_warhorse	hu1c_wh3_dlc20_hr1_glhh_sword_and_shield	hkrul_lokjar	wh3_dlc20_chs_cha_lord_hero_chaos_steed_rider		true	true	false
hkrul_lokjar_warhorse_rider	hu1c_wh3_dlc20_hr1_glhh_sword_and_shield	hkrul_lokjar	wh3_dlc20_chs_cha_lord_hero_chaos_steed_rider		true	true	false
hkrul_lokjar_chariot_rider2	hu1c_chaos_wm_chariot_axe_and_shield	hkrul_lokjar	wh_main_infantry_rider_character_blood		true	true	false
hkrul_hakka_chariot	hu1c_dlc20_chaos_lord_wm_chariot_dual_axe	hkrul_hakka	wh3_dlc20_chs_cha_lord_hero		true	true	false
hkrul_sayl_chariot_rider2	sayl	hkrul_sayl	wh_main_infantry_rider_character_blood		true	true	false
hkrul_sayl_mammoth_rider	sayl	hkrul_sayl	wh_main_infantry_rider		true	true	false
hkrul_drenok_chariot	hu1c_chaos_wm_chariot_halberd	hkrul_drenok	wh3_dlc20_chs_cha_lord_hero		true	true	false
hkrul_drenok_bear	hu1c_wh3_kislev_be1_warbear_dual_axe	hkrul_drenok	wh3_dlc20_chs_cha_lord_hero		true	true	false
hkrul_einar_bear	hu1c_wh3_kislev_be1_warbear_dual_axe	hkrul_einar	wh3_dlc20_chs_cha_lord_hero		true	true	false
hkrul_adella_chariot	adella_chariot	hkrul_adella	wh_main_infantry_standard_hero_blood		true	true	false
hkrul_adella_stegadon	adella_stegadon	hkrul_adella	wh_nor_chariot_rider_throwing_axe_180	wh_mod_nor_mon_stegadon_adella_rider	true	true	false
wh_mod_skg_charioteer	hu1c_chaos_wm_chariot_whip	hkrul_skeggi_marauder_champion_1	wh_main_infantry_rider_character_blood		false	true	false
wh_mod_skg_adella_stegadon_howdah_rider1	hu1c_norsca_wb_mammoth_javelin	wh_mod_skg_stegadon_adella_howdah_rider	wh_main_infantry_rider	wh_dlc08_nor_mon_mammoth_rider	false	true	false
wh_mod_skg_adella_stegadon_howdah_rider2	hu1c_norsca_wb_mammoth_javelin	wh_mod_skg_stegadon_adella_howdah_rider	wh_main_infantry_rider	wh_dlc08_nor_mon_mammoth_rider	false	true	false
wh_mod_skg_adella_stegadon_howdah_rider3	hu1c_norsca_wb_mammoth_javelin	wh_mod_skg_stegadon_adella_howdah_rider	wh_main_infantry_rider	wh_dlc08_nor_mon_mammoth_rider	false	true	false
wh_mod_skg_adella_stegadon_howdah_rider4	hu1c_norsca_wb_mammoth_javelin	wh_mod_skg_stegadon_adella_howdah_rider	wh_main_infantry_rider	wh_dlc08_nor_mon_mammoth_rider	false	true	false
