key	text	tooltip
#Loc;1;text/db/scm_norsca_elite_unit.loc		
land_units_onscreen_name_rhox_graeling_champion	Graeling Marauder Champions	false
land_units_onscreen_name_rhox_baersonling_champion	Baersonling Marauder Champion (Great Weapons)	false
land_units_onscreen_name_rhox_kurgan_champion	Kurgan Marauder Champions	false
land_units_onscreen_name_rhox_kurgan_spearman	Kurgan Marauder Spearmen	false
land_units_onscreen_name_rhox_kurgan_javelin	Kurgan Marauder Hunters (Javelins)	false
land_units_onscreen_name_rhox_aesling_berserker	Aesling Marauder Berserkers	false
land_units_onscreen_name_rhox_skeggi_champion	Skeggi Marauder Champions	false
land_units_onscreen_name_rhox_yusak_devoted_marauders	Yusak Devoted Marauders of Slaanesh (Spears)	false
land_units_onscreen_name_rhox_drenok_marauder	Icefang Marauder	false
land_units_onscreen_name_rhox_wolftribe_marauder	Tribe of the Wolf Marauder	false
effects_description_rhox_sarg_elite_upkeep	Upkeep: %+n% for Yusak Devoted Marauders of Slaanesh (Spears)	false
effects_description_rhox_sarg_elite_bvl	Bonus vs Large: %+n for Yusak Devoted Marauders of Slaanesh (Spears)	false
character_skills_localised_description_rhox_einar_elite	After bending the knee to Wulfric, the ultimate challenger, this chieftain and the warband that follows him are at the Wanderer's disposal. Their finest warriors will proof valueable in the battles to come.	false
character_skills_localised_name_rhox_einar_elite	Loyal to the Wanderer	false
effects_description_rhox_adella_elite_upkeep	Upkeep: %+n% for Skeggi Marauder Champions	false
effects_description_rhox_adella_elite_defence	Melee Defence: %+n for Skeggi Marauder Champions	false
effects_description_rhox_drenok_elite_upkeep	Upkeep: %+n% for Icefang Marauder	false
effects_description_rhox_drenok_elite_attack	Melee Attack: %+n for Icefang Marauder	false
character_skills_localised_description_rhox_harald_elite	After bending the knee to Wulfric, the ultimate challenger, this chieftain and the warband that follows him are at the Wanderer's disposal. Their finest warriors will proof valueable in the battles to come.	false
character_skills_localised_name_rhox_harald_elite	Loyal to the Wanderer	false
character_skills_localised_description_rhox_wolf_elite	After bending the knee to Wulfric, the ultimate challenger, this chieftain and the warband that follows him are at the Wanderer's disposal. Their finest warriors will proof valueable in the battles to come.	false
character_skills_localised_name_rhox_wolf_elite	Loyal to the Wanderer	false
character_skills_localised_description_rhox_akkorak_elite	After bending the knee to Wulfric, the ultimate challenger, this chieftain and the warband that follows him are at the Wanderer's disposal. Their finest warriors will proof valueable in the battles to come.	false
character_skills_localised_name_rhox_akkorak_elite	Loyal to the Wanderer	false
effects_description_rhox_einar_elite_upkeep	Upkeep: %+n% for Baersonling Marauder Champion (Great Weapons)	false
effects_description_rhox_einar_elite_weapon_strength	Weapon Strength: %+n% for Baersonling Marauder Champion (Great Weapons)	false
effects_description_rhox_einar_elite_morale	Morale: %+n for Baersonling Marauder Champion (Great Weapons)	false
character_skills_localised_description_rhox_drenok_elite	After bending the knee to Wulfric, the ultimate challenger, this chieftain and the warband that follows him are at the Wanderer's disposal. Their finest warriors will proof valueable in the battles to come.	false
character_skills_localised_name_rhox_drenok_elite	Loyal to the Wanderer	false
effects_description_rhox_akkorak_elite_upkeep	Upkeep: %+n% for Kurgan units	false
effects_description_rhox_akkorak_elite_speed	Speed: %+n% for Kurgan units	false
effects_description_rhox_akkorak_elite_weapon_strength	Weapon Strength: %+n% for Kurgan units	false
character_skills_localised_description_rhox_sarg_elite	After bending the knee to Wulfric, the ultimate challenger, this chieftain and the warband that follows him are at the Wanderer's disposal. Their finest warriors will proof valueable in the battles to come.	false
character_skills_localised_name_rhox_sarg_elite	Loyal to the Wanderer	false
effects_description_rhox_harald_elite_upkeep	Upkeep: %+n% for Graeling Marauder Champions	false
effects_description_rhox_harald_elite_melee_attack	Melee Attack: %+n for Graeling Marauder Champions	false
effects_description_rhox_hakka_elite_upkeep	Upkeep: %+n% for Aesling Marauder Berserkers	false
effects_description_rhox_hakka_elite_charge	Charge Bonus: %+n for Aesling Marauder Berserkers	false
character_skills_localised_description_rhox_hakka_elite	After bending the knee to Wulfric, the ultimate challenger, this chieftain and the warband that follows him are at the Wanderer's disposal. Their finest warriors will proof valueable in the battles to come.	false
character_skills_localised_name_rhox_hakka_elite	Loyal to the Wanderer	false
character_skills_localised_description_rhox_sayl_elite	After bending the knee to Wulfric, the ultimate challenger, this chieftain and the warband that follows him are at the Wanderer's disposal. Their finest warriors will proof valueable in the battles to come.	false
character_skills_localised_name_rhox_sayl_elite	Loyal to the Wanderer	false
effects_description_rhox_sayl_elite_upkeep	Upkeep: %+n% for Kurgan units	false
effects_description_rhox_sayl_elite_speed	Speed: %+n% for Kurgan units	false
effects_description_rhox_sayl_elite_weapon_strength	Weapon Strength: %+n% for Kurgan units	false
effects_description_rhox_wolf_elite_upkeep	Upkeep: %+n% for Tribe of the Wolf Marauder	false
effects_description_rhox_wolf_elite_melee_defence	Melee Defence: %+n for Tribe of the Wolf Marauder	false
character_skills_localised_description_rhox_adella_elite	After bending the knee to Wulfric, the ultimate challenger, this chieftain and the warband that follows him are at the Wanderer's disposal. Their finest warriors will proof valueable in the battles to come.	false
character_skills_localised_name_rhox_adella_elite	Loyal to the Wanderer	false
land_units_onscreen_name_hkrul_boartusk_mammoth_ror	Tuskling of Mogwrath (Feral Mammoth)	false
unit_description_short_texts_text_hkrul_boartusk_mammoth_ror	The last of a cursed litter, raised on the flesh of drowned warhounds.	false
unit_description_historical_texts_text_hkrul_boartusk_mammoth_ror	The last of a cursed litter, raised on the flesh of drowned warhounds.	false
