key	text	tooltip
#Loc;1;text/db/hkrul_harald.loc		
character_skills_localised_name_innate_hkrul_harald	Unifier and Subduer	true
character_skills_localised_description_innate_hkrul_harald	Not many would even consider to unite the warmongering ambigious tribes of the North, yet Harald is confident he will be crowned the Ever-King.	true
character_skills_localised_description_hkrul_harald_special_0_1	Known as a Northern Strategist, Harald excels in planning campaigns in frigid climates. His armies move efficiently through icy terrains, gaining advantages in Norscan territories.	true
character_skills_localised_name_hkrul_harald_special_0_1	Hunters and Gatherers	true
character_skills_localised_description_hkrul_harald_special_1_1	With unnatural strength Harald requires nothing but his bear hands to snap the spines of even the fiercest of foes. A sight but few manage to stomach.	true
character_skills_localised_name_hkrul_harald_special_1_1	Spinal Displacement	true
character_skills_localised_description_hkrul_harald_special_1_2	Known for his ruthless governance, Harald imposes an Iron Fist Rule that quells dissent and reduces the chance of rebellions in his expanding domain.	true
character_skills_localised_name_hkrul_harald_special_1_2	Pawlike Grip	true
character_skills_localised_description_hkrul_harald_special_1_5	Harald leaves an indelible mark on the legacy of Graeling conquest. This skill accelerates the process of assimilating conquered provinces into the Graeling Kingdom, ensuring swift integration and stability.	true
character_skills_localised_name_hkrul_harald_special_1_5	Whyrlas's Diet	true
character_skills_localised_description_hkrul_harald_special_1_0	As the Warlord of the Graelings, Harald's authority on the battlefield is unmatched. His presence inspires troops to fight with heightened morale and effectiveness during campaigns and battles.	true
character_skills_localised_name_hkrul_harald_special_1_0	The Great Uniter	true
character_skills_localised_description_hkrul_harald_special_1_3	Harald's ambition fuels the expansion of the Graeling Dominion. Newly conquered territories under his rule experience accelerated growth and swift assimilation into the burgeoning kingdom	true
character_skills_localised_name_hkrul_harald_special_1_3	Northern Slavers	true
character_skills_localised_description_hkrul_harald_special_0_2	Harald Whyrlas aspires to unite all Norscan tribes under the banner of the Graeling Kingdom. His diplomatic prowess and vision for a united Norscan realm improve relations with neighboring faction	true
character_skills_localised_name_hkrul_harald_special_0_2	The Graeling Tribe	true
character_skills_localised_description_hkrul_harald_special_1_4	Graeling beserkers welcome mutations with open arms, considering nothing shy but the greatest gift to recieve from their patrons.	true
character_skills_localised_name_hkrul_harald_special_1_4	Graeling Beserkers	true
agent_subtypes_onscreen_name_override_hkrul_harald	Legendary Lord	false
agent_subtypes_description_text_override_hkrul_harald		false
effects_description_hkrul_harald_sword	Ability: "Frostrend Cleaver''	true
character_trait_levels_onscreen_name_hkrul_defeated_trait_harald	A Fallen Giant	true
character_trait_levels_colour_text_hkrul_defeated_trait_harald	The Bigger they are the haralder they fall..	true
character_trait_levels_explanation_text_hkrul_defeated_trait_harald	Defeated Harald Whyrlas	true
ancillaries_colour_text_hkrul_harald_sword	The Frostrend Cleaver, a colossal greatsword of the Graeling tribe, passes from Jarl to Jarl, embodying the lineage's unwavering strength. Its icy blade tells tales of victories etched in frost, each swing a testament to the tribe's indomitable spirit. An heirloom of power, the Frostreaver gleams with the echoes of heroes long past, guiding the Graeling leaders through the relentless dance of battles and winters.	true
ancillaries_onscreen_name_hkrul_harald_sword	Frostrend Cleaver	true
land_units_onscreen_name_hkrul_harald	Harald Whyrlas	true
unit_description_short_texts_text_hkrul_harald	The enormous Harald has an ambition to unite all the tribes of Norsca into one nation, using his size as intimidation to any daring enough to rise against him.	false
unit_abilities_tooltip_text_hkrul_harald_sword	With the unparalled might of his swing, Harald uses the Frostrend Cleavers to shatter the fiercest of weaponry.	true
unit_abilities_onscreen_name_hkrul_harald_sword	Frostrend Cleaver	true
character_skill_node_sets_enc_title_skill_node_set_hkrul_harald		false
names_name_5670700350	Whyrlas	false
names_name_5670700351	Harald	false
effects_description_hkrul_harald_leadership_dummy	Leadership: %+n for each confederated Norscan Tribe	true
effects_description_hkrul_harald_fear_vs_norsca	Attribute: Causes Terror when fighting against Norscan factions	true
effects_description_hkrul_sarg_fear_vs_cathay	Attribute: Causes Fear when fighting against Cathayan Factions	true
effects_description_hkrul_harald_skin_wolves_bonus_vs_large	Bonus vs Large: %+n for Skin Wolf units	true
effects_description_hkrul_harald_beserker_melee_damage	Weapon strength: %+n% for Marauder Berserker units	true
effect_bundles_localised_description_hkrul_harald_faction_trait	He who seeks to unite all Norscan tribes is either foolish or brave, or perhaps both.	false
effect_bundles_localised_title_hkrul_harald_faction_trait	The Great Unifier	false
campaign_localised_strings_string_rhox_graeling_panel_open_button	Unite the Norsca||Show your prowess and unite the Norscan tribes	false
campaign_localised_strings_string_rhox_graeling_piece_tab	Unite the Norsca	false
mission_text_text_rhox_graeling_ll_0	Defeat 5 Legendary Lords with Harlad\\n\\n0 Legendary Lords defeated	false
mission_text_text_rhox_graeling_ll_1	Defeat 5 Legendary Lords with Harlad\\n\\n1 Legendary Lords defeated	false
mission_text_text_rhox_graeling_ll_2	Defeat 5 Legendary Lords with Harlad\\n\\n2 Legendary Lords defeated	false
mission_text_text_rhox_graeling_ll_3	Defeat 5 Legendary Lords with Harlad\\n\\n3 Legendary Lords defeated	false
mission_text_text_rhox_graeling_ll_4	Defeat 5 Legendary Lords with Harlad\\n\\n4 Legendary Lords defeated	false
mission_text_text_rhox_graeling_ll_5	Defeat 5 Legendary Lords with Harlad\\n\\n5 Legendary Lords defeated	false
mission_text_text_rhox_graeling_hunt	Finish any monster hunts	false
uied_component_texts_localised_string_StateText_rhox_graeling_panel_title	Unite the Norscans	false
uied_component_texts_localised_string_ComponentTooltip_rhox_graeling_panel_open_button	Unite the Norscans||View mission locations with requierments to unify the Northern Tribes	false
missions_localised_title_rhox_graeling_mission_wh_main_nor_skaeling	Confederation formed with Skaelings	false
missions_localised_description_rhox_graeling_mission_wh_main_nor_skaeling	Confederation formed with Skaelings	false
missions_localised_title_rhox_graeling_mission_wh3_dlc20_nor_dolgan	Confederation formed with Dolgan	false
missions_localised_description_rhox_graeling_mission_wh3_dlc20_nor_dolgan	Confederation formed with Dolgan	false
missions_localised_title_rhox_graeling_mission_wh3_dlc20_nor_kul	Confederation formed with Kul	false
missions_localised_description_rhox_graeling_mission_wh3_dlc20_nor_kul	Confederation formed with Kul	false
missions_localised_title_rhox_graeling_mission_wh_dlc08_nor_vanaheimlings	Confederation formed with Icefang	false
missions_localised_description_rhox_graeling_mission_wh_dlc08_nor_vanaheimlings	Confederation formed with Icefang	false
missions_localised_title_rhox_graeling_mission_wh_main_nor_aesling	Confederation formed with Aesling	false
missions_localised_description_rhox_graeling_mission_wh_main_nor_aesling	Confederation formed with Aesling	false
missions_localised_title_rhox_graeling_mission_wh_main_nor_baersonling	Confederation formed with Baersonling	false
missions_localised_description_rhox_graeling_mission_wh_main_nor_baersonling	Confederation formed with Baersonling	false
missions_localised_title_rhox_graeling_mission_wh_main_nor_bjornling	Confederation formed with Bjornling	false
missions_localised_description_rhox_graeling_mission_wh_main_nor_bjornling	Confederation formed with Bjornling	false
missions_localised_title_rhox_graeling_mission_wh_main_nor_sarl	Confederation formed with Sarl	false
