ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/hkrul_sayl	
wh2_dlc09_unit_passive_guardian	hkrul_nightmav
hkrul_nightmaw_wither	hkrul_nightmav
wh3_main_unit_passive_single_entity	hkrul_nightmav
wh3_main_unit_passive_single_entity	hkrul_sayl
wh_dlc08_lord_abilities_fight_or_die	hkrul_sayl
wh_dlc08_lord_passive_rage	hkrul_sayl
wh_main_character_abilities_foe_seeker	hkrul_sayl
hkrul_summon_nightmaw	hkrul_sayl
hkrul_sayl_mist	hkrul_sayl
hkrul_sayl_warp	hkrul_sayl
wh3_main_unit_passive_single_entity	hkrul_sayl_chariot
wh_dlc08_lord_abilities_fight_or_die	hkrul_sayl_chariot
wh_dlc08_lord_passive_rage	hkrul_sayl_chariot
wh_main_character_abilities_foe_seeker	hkrul_sayl_chariot
hkrul_summon_nightmaw	hkrul_sayl_chariot
hkrul_sayl_mist	hkrul_sayl_chariot
hkrul_sayl_warp	hkrul_sayl_chariot
wh3_main_unit_passive_single_entity	hkrul_sayl_mammoth
wh_dlc08_lord_abilities_fight_or_die	hkrul_sayl_mammoth
wh_dlc08_lord_passive_rage	hkrul_sayl_mammoth
wh_main_character_abilities_foe_seeker	hkrul_sayl_mammoth
hkrul_summon_nightmaw	hkrul_sayl_mammoth
hkrul_sayl_mist	hkrul_sayl_mammoth
hkrul_sayl_warp	hkrul_sayl_mammoth
wh3_dlc20_unit_passive_giver_of_glory	hkrul_sayl_mammoth
wh_dlc08_unit_passive_favour_of_the_ruinous_powers	hkrul_sayl_mammoth
