ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/ab_wolftribe	
wh3_main_unit_passive_single_entity	nor_skin_wolf_lord
wh_dlc08_hero_passive_ruinous_flesh	nor_skin_wolf_lord
wh_main_character_abilities_deadly_onslaught	nor_skin_wolf_lord
wh_main_character_abilities_foe_seeker	nor_skin_wolf_lord
wh_main_unit_passive_frenzy	nor_skin_wolf_lord
wh_main_unit_passive_regeneration	nor_skin_wolf_lord
wh_dlc08_lord_abilities_fight_or_die	nor_skin_wolf_lord
wh_dlc08_lord_passive_rage	nor_skin_wolf_lord
wh_main_character_abilities_stand_or_die	nor_skin_wolf_lord
wh3_main_unit_passive_single_entity	nor_skin_wolf_lord_02
wh_dlc08_hero_passive_ruinous_flesh	nor_skin_wolf_lord_02
wh_main_character_abilities_deadly_onslaught	nor_skin_wolf_lord_02
wh_main_character_abilities_foe_seeker	nor_skin_wolf_lord_02
wh_main_unit_passive_frenzy	nor_skin_wolf_lord_02
wh_main_unit_passive_regeneration	nor_skin_wolf_lord_02
wh_dlc08_lord_abilities_fight_or_die	nor_skin_wolf_lord_02
wh_dlc08_lord_passive_rage	nor_skin_wolf_lord_02
wh_main_character_abilities_stand_or_die	nor_skin_wolf_lord_02
wh3_main_unit_passive_single_entity	nor_skin_wolf_lord_03
wh_dlc08_hero_passive_ruinous_flesh	nor_skin_wolf_lord_03
wh_main_character_abilities_deadly_onslaught	nor_skin_wolf_lord_03
wh_main_character_abilities_foe_seeker	nor_skin_wolf_lord_03
wh_main_unit_passive_frenzy	nor_skin_wolf_lord_03
wh_main_unit_passive_regeneration	nor_skin_wolf_lord_03
wh_dlc08_lord_abilities_fight_or_die	nor_skin_wolf_lord_03
wh_dlc08_lord_passive_rage	nor_skin_wolf_lord_03
wh_main_character_abilities_stand_or_die	nor_skin_wolf_lord_03
wh3_main_unit_passive_single_entity	scm_norsca_huern
wh_dlc08_lord_abilities_fight_or_die	scm_norsca_huern
wh_dlc08_lord_passive_rage	scm_norsca_huern
wh3_main_unit_passive_single_entity	scm_norsca_huern_wolf
wh_main_lord_abilities_wolf_regular	scm_norsca_huern_wolf
wh_main_lord_abilities_blessing_of_the_hound	scm_norsca_huern
wh_main_unit_passive_regeneration	scm_norsca_huern_wolf
wh_main_unit_passive_frenzy	scm_norsca_huern_wolf
ice_wolves_summon	scm_norsca_huern
terrifying_howl	scm_norsca_huern_wolf
wh2_dlc09_unit_passive_guardian	scm_norsca_huern
wh_dlc08_unit_passive_rage	wolftribe_nor_inf_wolfguard_honorguard
wh_dlc08_unit_passive_rage	wolftribe_nor_inf_wolf_champions_ror_0
wh_main_unit_passive_frenzy	wolftribe_nor_inf_wolf_champions_ror_0
wh_main_unit_passive_regeneration	wolftribe_nor_inf_wolf_champions_ror_0
wh_main_unit_passive_frenzy	wolftribe_nor_inf_wolfguard_honorguard
wh2_dlc09_unit_passive_guardian	wolftribe_nor_inf_wolfguard_honorguard
wh3_main_unit_passive_hellblade	wolftribe_nor_inf_wolf_champions_ror_0
wh2_dlc10_unit_abilities_frost_wyrm_breath	wolftribe_nor_mon_frost_wyrm_ror_summoned_0
wh3_main_unit_passive_single_entity	wolftribe_nor_mon_frost_wyrm_ror_summoned_0
wh_dlc04_unit_passive_chilling_aura	wolftribe_nor_mon_frost_wyrm_ror_summoned_0
