id	treasury_cost	expenditure_type	income_type	expenditure_type_when_regular	income_type_when_regular
#resource_costs_tables;0;db/resource_costs_tables/rhox_fc_norsca					
rhox_baersonling_chaos_lord_tzeentch_from_marauder_chieftain	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_baersonling_daemon_prince_tzeentch_from_chaos_lord_tzeentch	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sayl_ritual	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sayl_kho	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sayl_nur	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sayl_sla	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sayl_tze	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_akkorak_horse_upgrade	0	ACTIONS	BATTLE_KILLS	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_sla_upkeep_t1	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_sla_upkeep_t2	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_sla_upkeep_t3	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_sla_upkeep_t4	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_sla_upkeep_t5	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t1	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t2	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t2_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t3_sacrifice_requirement_high	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t3_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t3	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t4_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t4	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t5_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_t5	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_upkeep_t1	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_upkeep_t2	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_upkeep_t3	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_upkeep_t4	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sargath_initiative_devotee_und_upkeep_t5	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
