choice_key	dilemma_key	associated_audio_trigger
#cdir_events_dilemma_choice_details_tables;3;db/cdir_events_dilemma_choice_details_tables/rhox_fc_norsca		
FIRST	rhox_sayl_ritual_dilemma	
SECOND	rhox_sayl_ritual_dilemma	
THIRD	rhox_sayl_ritual_dilemma	
FOURTH	rhox_sayl_ritual_dilemma	
FIRST	daemon_hunter_0	
SECOND	daemon_hunter_0	
FIRST	daemon_hunter_1	
SECOND	daemon_hunter_1	
THIRD	daemon_hunter_1	
FOURTH	daemon_hunter_1	
FIRST	daemon_hunter_2	
FIRST	rhox_bjornling_fish_sale	
SECOND	rhox_bjornling_fish_sale	
THIRD	rhox_bjornling_fish_sale	
FOURTH	rhox_bjornling_fish_sale	
FIRST	bjornling_dilemma_1	
SECOND	bjornling_dilemma_1	
FIRST	bjornling_dilemma_fish_overload	
SECOND	bjornling_dilemma_fish_overload	
THIRD	bjornling_dilemma_fish_overload	
FOURTH	bjornling_dilemma_fish_overload	
