id	mission_key	payload_key	status_key	value	target_key
#cdir_events_mission_payloads_tables;2;db/cdir_events_mission_payloads_tables/rhox_fc_norsca					
814659529	rhox_graeling_mission_wh_dlc08_nor_wintertooth	TEXT_DISPLAY	SUCCESS	LOOKUP[rhox_graeling_payload_wh_dlc08_nor_norsca]	default
814659530	rhox_graeling_mission_wh_dlc08_nor_wintertooth	TREASURY	SUCCESS	AMOUNT[5000]	default
814659531	rhox_graeling_mission_wh_dlc08_nor_vanaheimlings	TEXT_DISPLAY	SUCCESS	LOOKUP[rhox_graeling_payload_wh_dlc08_nor_vanaheimlings]	default
814659532	rhox_graeling_mission_wh_dlc08_nor_vanaheimlings	TREASURY	SUCCESS	AMOUNT[5000]	default
814659533	rhox_graeling_mission_wh_main_nor_varg	TEXT_DISPLAY	SUCCESS	LOOKUP[rhox_graeling_payload_wh_main_nor_varg]	default
814659534	rhox_graeling_mission_wh_main_nor_varg	TREASURY	SUCCESS	AMOUNT[5000]	default
814659535	rhox_graeling_mission_cr_nor_tokmars	TEXT_DISPLAY	SUCCESS	LOOKUP[rhox_graeling_payload_cr_nor_tokmars]	default
814659536	rhox_graeling_mission_cr_nor_tokmars	TREASURY	SUCCESS	AMOUNT[5000]	default
814659537	rhox_graeling_mission_wh_main_nor_skaeling	TEXT_DISPLAY	SUCCESS	LOOKUP[rhox_graeling_payload_wh_main_nor_skaeling]	default
814659538	rhox_graeling_mission_wh_main_nor_skaeling	TREASURY	SUCCESS	AMOUNT[5000]	default
814659539	rhox_graeling_mission_wh_dlc08_nor_naglfarlings	TEXT_DISPLAY	SUCCESS	LOOKUP[rhox_graeling_payload_wh_dlc08_nor_naglfarlings]	default
814659540	rhox_graeling_mission_wh_dlc08_nor_naglfarlings	TREASURY	SUCCESS	AMOUNT[5000]	default
814659541	rhox_fc_norsca_asta	TEXT_DISPLAY	SUCCESS	LOOKUP[rhox_fc_norsca_asta]	default
814659542	rhox_baersonling_chain_5	TEXT_DISPLAY	SUCCESS	LOOKUP[rhox_baersonling_your_journey_continues]	default
814659543	rhox_baersonling_chain_5	TREASURY	SUCCESS	AMOUNT[1000]	default
