technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/rhox_fc_norsca			
rhox_sayl_kho_1	rhox_sayl_favour_hound	faction_to_faction_own_unseen	-1.0000
rhox_sayl_kho_2	rhox_sayl_favour_hound	faction_to_faction_own_unseen	-1.0000
rhox_sayl_kho_3	rhox_sayl_favour_hound	faction_to_faction_own_unseen	-1.0000
rhox_sayl_nur_1	rhox_sayl_favour_crow	faction_to_faction_own_unseen	-1.0000
rhox_sayl_nur_2	rhox_sayl_favour_crow	faction_to_faction_own_unseen	-1.0000
rhox_sayl_nur_3	rhox_sayl_favour_crow	faction_to_faction_own_unseen	-1.0000
rhox_sayl_sla_1	rhox_sayl_favour_serpent	faction_to_faction_own_unseen	-1.0000
rhox_sayl_sla_2	rhox_sayl_favour_serpent	faction_to_faction_own_unseen	-1.0000
rhox_sayl_sla_3	rhox_sayl_favour_serpent	faction_to_faction_own_unseen	-1.0000
rhox_sayl_tze_1	rhox_sayl_favour_eagle	faction_to_faction_own_unseen	-1.0000
rhox_sayl_tze_2	rhox_sayl_favour_eagle	faction_to_faction_own_unseen	-1.0000
rhox_sayl_tze_3	rhox_sayl_favour_eagle	faction_to_faction_own_unseen	-1.0000
rhox_sayl_kho_1	rhox_sayl_effect_ability_gorefeast_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_kho_2	rhox_sayl_effect_ability_hellblade_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_kho_3	rhox_sayl_effect_ability_revel_in_slaughter_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_nur_1	rhox_sayl_effect_ability_locus_of_fecundity_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_nur_2	rhox_sayl_effect_ability_cloud_of_flies_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_nur_2	rhox_sayl_effect_ability_regen_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_nur_3	rhox_sayl_effect_ability_slime_trail_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_sla_1	rhox_sayl_effect_ability_feasting_on_fear_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_sla_2	rhox_sayl_effect_ability_soulhunters_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_sla_3	rhox_sayl_effect_enable_soporific_musk_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_tze_1	rhox_sayl_effect_ability_gate_of_tzeentch_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_tze_2	rhox_sayl_effect_ability_hidden_in_time_chosen	faction_to_force_own_unseen	1.0000
rhox_sayl_tze_3	rhox_sayl_effect_warpflame_chosen	faction_to_force_own_unseen	1.0000
rhox_bjornling_ritual_1	wh3_main_effect_enable_ritual_ksl_winter_ursun_upgraded	faction_to_faction_own_unseen	1.0000
rhox_bjornling_ritual_2	wh3_main_effect_enable_ritual_ksl_winter_tor_upgraded	faction_to_faction_own_unseen	1.0000
rhox_bjornling_ritual_3	wh3_main_effect_enable_ritual_ksl_winter_salyak_upgraded	faction_to_faction_own_unseen	1.0000
rhox_bjornling_ritual_4	wh3_main_effect_enable_ritual_ksl_winter_dazh_upgraded	faction_to_faction_own_unseen	1.0000
rhox_sarg_normal_1	wh3_dlc20_effect_chs_gift_cap_mod_und	faction_to_faction_own_unseen	1.0000
rhox_sarg_normal_2	wh3_dlc20_effect_chs_gift_cap_mod_und	faction_to_faction_own_unseen	1.0000
rhox_sarg_sla_3	wh3_dlc20_effect_chs_gift_cap_mod_sla	faction_to_faction_own_unseen	1.0000
rhox_sarg_sla_3	wh3_main_effect_army_ability_enable_sweet_sorrow	faction_to_faction_own_unseen	1.0000
hkrul_bjornling_tech_unique_1	wh3_dlc27_effect_commandment_nor_recruit_recruitment_capacity_mod	faction_to_province_own	1.0000
hkrul_bjornling_tech_unique_2	wh3_dlc27_effect_commandment_nor_recruit_recruitment_capacity_mod	faction_to_province_own	1.0000
hkrul_bjornling_tech_unique_3	hkrul_upkeep_heroes_campaign_test_2	faction_to_force_own	-35.0000
hkrul_bjornling_tech_unique_3	hkrul_shieldmaiden_melee_defence	faction_to_force_own	15.0000
hkrul_bjornling_tech_unique_3	hkrul_norsca_shield_maiden_recruit	faction_to_province_own_unseen	3.0000
hkrul_bjornling_tech_unique_3	hkrul_effect_agent_cap_increase_spy_shieldmaiden	faction_to_faction_own_unseen	2.0000
hkrul_bjornling_tech_unique_4	wh3_dlc27_effect_commandment_nor_recruit_recruitment_capacity_mod	faction_to_province_own	1.0000
