army_name	unit_name	script_name	number_of_unit
#battle_set_piece_armies_units_junctions_tables;0;db/battle_set_piece_armies_units_junctions_tables/hkrul_norsca_qb_einar			
hkrul_baerson_einar_bubos_player	hkrul_baerson_inf_marauder_champions_1_1		2
hkrul_baerson_einar_bubos_player	hkrul_baerson_inf_marauder_champions_0_1		2
hkrul_baerson_einar_bubos_player	hkrul_baerson_inf_marauder_hunters_1_1		3
hkrul_baerson_einar_bubos_player	hkrul_baerson_inf_marauder_hunters_0_1		2
hkrul_baerson_einar_bubos_player	hkrul_baerson_inf_marauder_spearman_0_1		2
hkrul_baerson_einar_bubos_player	hkrul_baerson_inf_chaos_marauders_0_1		1
hkrul_baerson_einar_bubos_player	hkrul_baerson_inf_chaos_marauders_0_2		1
hkrul_baerson_einar_bubos_player	wh3_dlc24_tze_mon_cockatrice		1
hkrul_baerson_einar_bubos_player	wh_dlc08_nor_mon_norscan_giant_0		1
hkrul_baerson_einar_bubos_player	wh_dlc08_nor_mon_skinwolves_1		2
hkrul_baerson_einar_bubos_enemy_beastmen_main	wh3_main_nur_cav_plague_drones_0_tier_3	enemy_main	1
hkrul_baerson_einar_bubos_enemy_beastmen_main	wh3_main_nur_inf_plaguebearers_0_tier_4	enemy_main	3
hkrul_baerson_einar_bubos_enemy_beastmen_main	wh3_main_nur_mon_spawn_of_nurgle_0_rank_5	enemy_main	3
hkrul_baerson_einar_bubos_enemy_beastmen_main	wh3_main_survival_nur_inf_nurglings_0	enemy_main	4
hkrul_baerson_einar_bubos_enemy_beastmen_main	wh3_main_survival_nur_inf_forsaken_0	enemy_main	3
hkrul_baerson_einar_bubos_enemy_beastmen_main	wh3_main_survival_nur_mon_great_unclean_one_0	enemy_main	1
hkrul_baerson_einar_bubos_enemy_beastmen_reserve	wh3_main_survival_nur_mon_plague_toads_0	enemy_flank	4
hkrul_baerson_einar_bubos_enemy_beastmen_reserve	wh3_main_nur_mon_soul_grinder_0	enemy_cygors	3
hkrul_baerson_einar_bubos_enemy_beastmen_reserve	wh3_main_survival_nur_inf_plaguebearers_1	enemy_cygors_defenders	2
hkrul_baerson_einar_bubos_enemy_beastmen_reserve	wh3_main_survival_nur_inf_forsaken_0	enemy_cygors_defenders	1
hkrul_baerson_einar_aesling_reinforcement	hkrul_bloodtide_cav_marauder_horsemen_0_1		2
hkrul_baerson_einar_aesling_enemy	hkrul_aesling_inf_marauder_javelin		3
hkrul_baerson_einar_aesling_enemy	hkrul_aesling_inf_marauder_spear		2
hkrul_baerson_einar_aesling_enemy	hkrul_aesling_inf_marauder_0		2
hkrul_baerson_einar_aesling_enemy	hkrul_aesling_inf_marauder_1		2
hkrul_baerson_einar_aesling_enemy	hkrul_aesling_inf_hounds		1
hkrul_baerson_einar_aesling_enemy	hkrul_aesling_inf_bloodbeast		1
hkrul_baerson_einar_aesling_enemy	hkrul_aesling_inf_shrine		1
hkrul_baerson_einar_aesling_ally	hkrul_baerson_inf_marauder_hunters_0_1		1
hkrul_baerson_einar_aesling_ally	hkrul_baerson_asta		1
hkrul_baerson_einar_aesling_player	hkrul_baerson_inf_chaos_marauders_0_1		3
hkrul_baerson_einar_aesling_player	hkrul_baerson_inf_marauder_hunters_1_1		2
hkrul_baerson_einar_aesling_player	hkrul_baerson_inf_marauder_spearman_0_1		2
hkrul_baerson_einar_aesling_player	hkrul_baerson_inf_marauder_champions_0_1		1
