campaign_group	ritual	unlock_mission	unlock_turn	initially_unlocked
#campaign_group_rituals_tables;1;db/campaign_group_rituals_tables/rhox_fc_norsca				
rhox_aesling_feature_group	wh3_main_ritual_kho_the_skull_throne		0	true
rhox_bjornling_feature_group	wh3_main_ritual_ksl_winter_dazh		0	true
rhox_bjornling_feature_group	wh3_main_ritual_ksl_winter_dazh_upgraded		0	false
rhox_bjornling_feature_group	wh3_main_ritual_ksl_winter_salyak		0	true
rhox_bjornling_feature_group	wh3_main_ritual_ksl_winter_salyak_upgraded		0	false
rhox_bjornling_feature_group	wh3_main_ritual_ksl_winter_tor		0	true
rhox_bjornling_feature_group	wh3_main_ritual_ksl_winter_tor_upgraded		0	false
rhox_bjornling_feature_group	wh3_main_ritual_ksl_winter_ursun		0	true
rhox_bjornling_feature_group	wh3_main_ritual_ksl_winter_ursun_upgraded		0	false
rhox_bjornling_feature_group	wh3_main_ritual_ksl_revitalists_followers_action_1		0	true
rhox_bjornling_feature_group	wh3_main_ritual_ksl_revitalists_followers_action_2		0	true
rhox_sayl_feature_group	rhox_sayl_ritual		0	true
rhox_sargath_feature	wh3_main_ritual_sla_pleasure_arena		0	true
rhox_sargath_feature	wh3_main_ritual_sla_pleasure_hunt		0	true
rhox_sargath_feature	wh3_main_ritual_sla_pleasure_party		0	true
