variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/rhox_graeling							
scm_fc_norsca_graeling_nor_marauder_throwing_axe		scm_fc_norsca_graeling_nor_marauder_throwing_axe		1.0000	1.0000	0.0500	
scm_fc_norsca_graeling_nor_marauder_javelins		scm_fc_norsca_graeling_nor_marauder_javelins		1.0000	1.0000	0.0500	
scm_fc_norsca_graeling_nor_marauder_spear		scm_fc_norsca_graeling_nor_marauder_spear		1.0000	1.0000	0.0500	
scm_fc_norsca_graeling_nor_marauder		scm_fc_norsca_graeling_nor_marauder		1.0000	1.0000	0.0500	
scm_fc_norsca_graeling_nor_marauder_great_weapons		scm_fc_norsca_graeling_nor_marauder_great_weapons		1.0000	1.0000	0.0500	
scm_fc_norsca_graeling_nor_marauder_horsemen_throwing_axe		scm_fc_norsca_graeling_nor_marauder_horsemen_throwing_axe		1.0000	0.9500	0.0500	
scm_fc_norsca_graeling_nor_marauder_beserker		scm_fc_norsca_graeling_nor_marauder_beserker		1.0000	1.0000	0.0500	
scm_fc_norsca_graeling_nor_marauder_champion_0		scm_fc_norsca_graeling_nor_marauder_champion_0		1.0000	1.0000	0.0500	
scm_fc_norsca_graeling_nor_marauder_champion_1		scm_fc_norsca_graeling_nor_marauder_champion_1		1.0000	1.0000	0.0500	
