deactivate_flag	special_ability
#special_ability_to_auto_deactivate_flags_tables;0;db/special_ability_to_auto_deactivate_flags_tables/scm_norsca	
phase_is_deployment	hkrul_summon_nightmaw
phase_is_the_end_phase	hkrul_summon_nightmaw
phase_is_deployment	rhox_fc_norsca_summon_raven
phase_is_the_end_phase	rhox_fc_norsca_summon_raven
flying_currently	rhox_fc_norsca_raven
morale_is_higher_than_wavering	hkrul_hakka_gaze
phase_is_deployment	hkrul_drenok_wolf
phase_is_the_end_phase	hkrul_drenok_wolf
flying_currently	hkrul_drenok_frostwyrm
out_of_melee	hkrul_nightmaw_wither
moving	hkrul_ulfric_wall_formation
morale_is_higher_than_wavering	wolftribe_ability_my_mother
out_of_melee	wolftribe_abilities_frostaxe_aura
climbing_manning_eq_on_platform	rhox_huscarl_shield_wall
moving	rhox_huscarl_shield_wall
unit_tier2_kills	hkrul_ulfric_axe_formation
health_below_25%	hkrul_wolf_track
morale_is_wavering_or_lower	hkrul_wolf_scratch
losing_melee_combat	hkrul_hrothgar_passive
allies_in_intercept_range	hkrul_ice_golem_stance
moving	hkrul_ice_golem_walk
not_moving	hkrul_adella_fishbrain
out_of_melee	wolftribe_abilities_bitter_aura
