id	duration	effect_type	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	damage_amount	max_damaged_entities	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group	spreading	freeze_recharge	heal_amount	barrier_heal_amount	remove_magical	execute_ratio
#special_ability_phases_tables;43;db/special_ability_phases_tables/scm_norsca																															
hkrul_adella_pal	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_adella_sword	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_soren_sack_1	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_dlc23_crooked_dice_i	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_soren_sack_2	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_dlc23_crooked_dice_ii	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_soren_sack_3	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_dlc23_crooked_dice_iii	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_soren_sack_4	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_dlc23_crooked_dice_hkrul_iv	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_soren_sack_2_1	40.0000	positive		true	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_dlc23_crooked_dice_i	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_soren_sack_2_2	40.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_dlc23_crooked_dice_ii	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_soren_sack_2_3	40.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_dlc23_crooked_dice_iii	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_soren_sack_2_4	40.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.5000	0.0000	false	0		wh3_dlc23_crooked_dice_hkrul_iv	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_akkorak_spear	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_birna_sword	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_drenok_axe	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_einar_sword	25.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_harald_sword	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0	wh2_dlc09_unit_contact_shieldbreaker	wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_lokjar_cry	30.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_ulfric_axe	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_verdandi_hunt	30.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
rhox_fc_norsca_raven	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_all		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_ulfric_crown	40.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive_one_shot	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
hkrul_hakka_axe	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0	wh_dlc06_unit_contact_sundered_armour	wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
