bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/scm_norsca	
weak_anti_armour	hkrul_sarl_hunters
very_fast	calm_fc_norsca_raven
rhox_fc_norsca_undying_character	calm_fc_norsca_raven
frostbite	hkrul_drenok_wolf
very_fast	hkrul_drenok_wolf
anti_large	hkrul_drenok_wolf
anti_infantry	hkrul_nightmav
armour_piercing	hkrul_nightmav
armoured	dead_drenok_ice_golem
frostbite	dead_drenok_ice_golem
charge_reflector_vs_large	dead_drenok_ice_golem
anti_large	dead_drenok_ice_bears
armour_piercing	dead_drenok_ice_bears
frostbite	dead_drenok_ice_bears
vanguard_deployment	dead_drenok_ice_bears
frostbite	dead_drenok_greater_ice_golem
armour_piercing	dead_drenok_greater_ice_golem
cumbersome	dead_drenok_greater_ice_golem
terror	dead_drenok_greater_ice_golem
anti_large	rhox_graeling_werekin_of_fijgard
armour_piercing	rhox_graeling_werekin_of_fijgard
armoured	rhox_graeling_werekin_of_fijgard
vanguard_deployment	rhox_graeling_werekin_of_fijgard
anti_infantry	wolftribe_nor_inf_wolfguard_honorguard
armour_piercing	wolftribe_nor_inf_wolfguard_honorguard
armoured	wolftribe_nor_inf_wolfguard_honorguard
flaming_attacks	wolftribe_nor_inf_wolfguard_honorguard
armoured_and_shielded	wolftribe_nor_inf_wolf_champions_ror_0
unbreakable	wolftribe_nor_inf_wolf_champions_ror_0
regeneration	wolftribe_nor_inf_wolf_champions_ror_0
