member	agent_subtype
#campaign_group_member_criteria_agent_subtypes_tables;0;db/campaign_group_member_criteria_agent_subtypes_tables/rhox_fc_norsca	
rhox_baersonling_marauder_chieftain_initiatives	wh_main_nor_marauder_chieftain
rhox_baersonling_marauder_chieftain_boons	wh_main_nor_marauder_chieftain
rhox_baersonling_tze_chaos_lord_initiatives	rhox_baersonling_chs_lord_mtze
rhox_baersonling_tze_chaos_lord_boons	rhox_baersonling_chs_lord_mtze
rhox_baersonling_daemon_prince_boons	rhox_baersonling_daemon_prince_tzeentch
hunting_camp_packlord	nor_skin_wolf_lord
hunting_camp_rafford	rafford_01
packlord_hunter_traits_packlord	nor_skin_wolf_lord
packlord_hunter_traits_rafford	rafford_01
