key	sort_order	effect_state
#unit_abilities_additional_ui_effects_tables;3;db/unit_abilities_additional_ui_effects_tables/scm_norsca		
hkrul_summon_nightmaw	106	positive
hkrul_drenok_summon_wolf	106	positive
wh_main_blessing_of_the_hound_form_advantages	102	positive
wh_main_blessing_of_the_hound_form_disadvantages	103	negative
wh_main_wolf_regular_form_advantages	102	positive
wh_main_wolf_regular_form_advantages_spells	103	positive
wh_main_transform_to_blessing_of_the_wolf_form	101	positive
wh_main_transform_to_wolf_regular_form	101	positive
ice_wolves_summon	1	positive
ice_wolves_summon_no_degrade	2	positive
wh_main_blessing_of_the_wolffather_form_advantages	102	positive
wh_main_blessing_of_the_wolffather_form_disadvantages	103	negative
wh_main_wolffather_regular_form_advantages	102	positive
wh_main_wolfwolffather_regular_form_advantages_spells	103	positive
wh_main_transform_to_blessing_of_the_wolffather_form	101	positive
wh_main_transform_to_wolffather_regular_form	101	positive
wolftribe_summon_child_of_frigustrex	105	positive
